timestamp,mast,rssi
0,Tower7,-117.29
0,Tower2,-123.35
0,Tower3,-138.22
0,Tower1,-126.47
0,Tower4,-130.06
0,Tower5,-130.52
0,Tower6,-137.56
0,Tower8,-132.98
0,Tower9,-131.08
0,Tower10,-132.4
1,Tower7,-121.42
1,Tower2,-123.59
1,Tower3,-136.99
1,Tower1,-132.59
1,Tower4,-130.18
1,Tower5,-136.11
1,Tower6,-138.05
1,Tower8,-132.57
1,Tower9,-130.76
1,Tower10,-132.09
2,Tower7,-122.88
2,Tower2,-123.16
2,Tower3,-137.25
2,Tower1,-130.28
2,Tower4,-128.84
2,Tower5,-130.4
2,Tower6,-137.88
2,Tower8,-132.38
2,Tower9,-130.84
2,Tower10,-131.64
3,Tower7,-123.14
3,Tower2,-123.29
3,Tower3,-137.19
3,Tower1,-131.37
3,Tower4,-128.8
3,Tower5,-136.16
3,Tower6,-137.4
3,Tower8,-137.14
3,Tower9,-130.49
3,Tower10,-131.96
4,Tower7,-122.01
4,Tower2,-122.93
4,Tower3,-137.26
4,Tower1,-132.08
4,Tower4,-129.18
4,Tower5,-131.23
4,Tower6,-136.8
4,Tower8,-131.82
4,Tower9,-131.16
4,Tower10,-131.77
5,Tower7,-120.86
5,Tower2,-124.14
5,Tower3,-136.96
5,Tower1,-131.06
5,Tower4,-129.2
5,Tower5,-130.58
5,Tower6,-137.49
5,Tower8,-131.49
5,Tower9,-131.55
5,Tower10,-131.38
6,Tower7,-123.26
6,Tower2,-123.94
6,Tower3,-136.29
6,Tower1,-126.26
6,Tower4,-129.87
6,Tower5,-131.3
6,Tower6,-137.81
6,Tower8,-132.49
6,Tower9,-131.28
6,Tower10,-131.93
7,Tower7,-122.89
7,Tower2,-123.98
7,Tower3,-132.78
7,Tower1,-131.4
7,Tower4,-129.01
7,Tower5,-130.52
7,Tower6,-132.86
7,Tower8,-131.62
7,Tower9,-130.88
7,Tower10,-132.56
8,Tower7,-122.74
8,Tower2,-123.94
8,Tower3,-137.51
8,Tower1,-131.31
8,Tower4,-129.89
8,Tower5,-126.26
8,Tower6,-137.08
8,Tower8,-132.24
8,Tower9,-131.7
8,Tower10,-131.04
9,Tower7,-121.88
9,Tower2,-124.1
9,Tower3,-137.27
9,Tower1,-130.78
9,Tower4,-129.52
9,Tower5,-131.48
9,Tower6,-136.91
9,Tower8,-131.72
9,Tower9,-136.68
9,Tower10,-131.02
10,Tower7,-123.52
10,Tower2,-123.85
10,Tower3,-138.15
10,Tower1,-131.24
10,Tower4,-128.31
10,Tower5,-130.37
10,Tower6,-137.03
10,Tower8,-131.68
10,Tower9,-130.15
10,Tower10,-126.69
11,Tower7,-123.73
11,Tower2,-124.06
11,Tower3,-137.75
11,Tower1,-131.87
11,Tower4,-129.98
11,Tower5,-130.95
11,Tower6,-137.61
11,Tower8,-131.48
11,Tower9,-131.29
11,Tower10,-131.99
12,Tower7,-123.19
12,Tower2,-119.56
12,Tower3,-137.09
12,Tower1,-130.82
12,Tower4,-129.26
12,Tower5,-131.36
12,Tower6,-136.94
12,Tower8,-130.56
12,Tower9,-131.53
12,Tower10,-131.92
13,Tower7,-122.88
13,Tower2,-123.85
13,Tower3,-138.07
13,Tower1,-126.0
13,Tower4,-128.87
13,Tower5,-130.85
13,Tower6,-137.76
13,Tower8,-133.74
13,Tower9,-129.62
13,Tower10,-131.8
14,Tower7,-122.2
